sample,wavelength,reflectance
Bentonite,2053.6,0.20634241
Buddingtonite,2053.6,0.44835854
maple,2053.6,0.15789874
Fresh Pine Needles,2053.6,0.06826758
Brown Pine Needles,2053.6,0.1473585
Dried Green Needles,2053.6,0.16638505
"Oak leaf, scenesced",2053.6,0.3227175
"Oak leaf, one year old",2053.6,0.16432221
CerCis_spec,2053.6,0.17624432
EucGlo_NPV_spec,2053.6,0.4617242
CorSel_NPV_spec,2053.6,0.66269183
HetArb_NPV_spec,2053.6,0.3107593
EucGlo_spec,2053.6,0.14321202
CorSel_spec,2053.6,0.2498665
"Oak leaf, new growth",2053.6,0.159871
polysterene,2053.6,2.112361
Pine Bark,2053.6,0.3320154
HDPE_film,2053.6,8.77135
PVC,2053.6,1.0607139
sycamore bark,2053.6,0.37934658
HDPE_bottle,2053.6,7.224128
HetArb_spec,2053.6,0.110442415
Kaolinite,2054.3,0.5044093
Montmorillonite,2054.3,0.5032724
Saponite,2054.3,0.45135033
Hectorite,2054.3,0.4150491
Sepiolite,2054.3,0.4414535
Magnesite,2054.3,0.5878282
Vermiculite,2054.3,0.76307154
Bentonite,2054.3,0.20668748
Buddingtonite,2054.3,0.4485955
maple,2054.3,0.1585313
Fresh Pine Needles,2054.3,0.068359844
Brown Pine Needles,2054.3,0.14693208
Dried Green Needles,2054.3,0.16604674
"Oak leaf, scenesced",2054.3,0.32223624
"Oak leaf, one year old",2054.3,0.16453604
CerCis_spec,2054.3,0.17688851
EucGlo_NPV_spec,2054.3,0.4608108
CorSel_NPV_spec,2054.3,0.66065395
HetArb_NPV_spec,2054.3,0.3102315
EucGlo_spec,2054.3,0.14339204
CorSel_spec,2054.3,0.25042477
"Oak leaf, new growth",2054.3,0.16014118
polysterene,2054.3,2.1127522
Pine Bark,2054.3,0.33140394
HDPE_film,2054.3,8.769029
PVC,2054.3,1.0596051
sycamore bark,2054.3,0.37874708
HDPE_bottle,2054.3,7.224942
HetArb_spec,2054.3,0.110658154
Kaolinite,2055,0.5040693
Montmorillonite,2055,0.50376415
Saponite,2055,0.45183286
Hectorite,2055,0.41522932
Sepiolite,2055,0.4416968
Magnesite,2055,0.58794695
Vermiculite,2055,0.7659342
Bentonite,2055,0.20709223
Buddingtonite,2055,0.4486653
maple,2055,0.15913618
Fresh Pine Needles,2055,0.068455204
Brown Pine Needles,2055,0.14648144
Dried Green Needles,2055,0.1657061
"Oak leaf, scenesced",2055,0.32180578
"Oak leaf, one year old",2055,0.16477048
CerCis_spec,2055,0.17752384
EucGlo_NPV_spec,2055,0.45996177
CorSel_NPV_spec,2055,0.65866005
HetArb_NPV_spec,2055,0.30970925
EucGlo_spec,2055,0.14356074
CorSel_spec,2055,0.2509737
"Oak leaf, new growth",2055,0.1604253
polysterene,2055,2.113728
Pine Bark,2055,0.33081114
HDPE_film,2055,8.765995
PVC,2055,1.0587511
sycamore bark,2055,0.3780979
HDPE_bottle,2055,7.221645
HetArb_spec,2055,0.110850416
Kaolinite,2055.7,0.50373423
Montmorillonite,2055.7,0.50423265
Saponite,2055.7,0.45218757
Hectorite,2055.7,0.41542268
Sepiolite,2055.7,0.4418202
Magnesite,2055.7,0.58791506
Vermiculite,2055.7,0.76862127
Bentonite,2055.7,0.20756857
Buddingtonite,2055.7,0.44856185
maple,2055.7,0.15970193
Fresh Pine Needles,2055.7,0.06855862
Brown Pine Needles,2055.7,0.14602128
Dried Green Needles,2055.7,0.1653696
"Oak leaf, scenesced",2055.7,0.3213982
"Oak leaf, one year old",2055.7,0.16506387
CerCis_spec,2055.7,0.17818747
EucGlo_NPV_spec,2055.7,0.45922962
CorSel_NPV_spec,2055.7,0.6567333
HetArb_NPV_spec,2055.7,0.30917323
EucGlo_spec,2055.7,0.1437523
CorSel_spec,2055.7,0.2516266
"Oak leaf, new growth",2055.7,0.16077724
polysterene,2055.7,2.1154191
Pine Bark,2055.7,0.33028203
HDPE_film,2055.7,8.762544
PVC,2055.7,1.0581928
sycamore bark,2055.7,0.3774105
HDPE_bottle,2055.7,7.21353
HetArb_spec,2055.7,0.11108002
Kaolinite,2056.4,0.50341344
Montmorillonite,2056.4,0.5046964
Saponite,2056.4,0.4524375
Hectorite,2056.4,0.41561902
Sepiolite,2056.4,0.44188678
Magnesite,2056.4,0.5877871
Vermiculite,2056.4,0.77065945
Bentonite,2056.4,0.20805952
Buddingtonite,2056.4,0.44836
maple,2056.4,0.1602426
Fresh Pine Needles,2056.4,0.06866016
Brown Pine Needles,2056.4,0.14557244
Dried Green Needles,2056.4,0.16502829
"Oak leaf, scenesced",2056.4,0.32091442
"Oak leaf, one year old",2056.4,0.1654275
CerCis_spec,2056.4,0.1788595
EucGlo_NPV_spec,2056.4,0.458607
CorSel_NPV_spec,2056.4,0.6548679
HetArb_NPV_spec,2056.4,0.3086532
EucGlo_spec,2056.4,0.14399518
CorSel_spec,2056.4,0.25246286
"Oak leaf, new growth",2056.4,0.16120116
polysterene,2056.4,2.1179147
Pine Bark,2056.4,0.32982647
HDPE_film,2056.4,8.761663
PVC,2056.4,1.0578588
sycamore bark,2056.4,0.37667227
HDPE_bottle,2056.4,7.2049336
HetArb_spec,2056.4,0.11136915
Kaolinite,2057.1,0.50310135
Montmorillonite,2057.1,0.50515056
Saponite,2057.1,0.45264438
Hectorite,2057.1,0.41579622
Sepiolite,2057.1,0.44196215
Magnesite,2057.1,0.5876263
Vermiculite,2057.1,0.7716586
Bentonite,2057.1,0.20849152
Buddingtonite,2057.1,0.44814587
maple,2057.1,0.16079289
Fresh Pine Needles,2057.1,0.068772554
Brown Pine Needles,2057.1,0.14515422
Dried Green Needles,2057.1,0.1646797
"Oak leaf, scenesced",2057.1,0.32029602
"Oak leaf, one year old",2057.1,0.16582137
CerCis_spec,2057.1,0.17953497
EucGlo_NPV_spec,2057.1,0.4580165
CorSel_NPV_spec,2057.1,0.6530417
HetArb_NPV_spec,2057.1,0.30813232
EucGlo_spec,2057.1,0.1442841
CorSel_spec,2057.1,0.25346953
"Oak leaf, new growth",2057.1,0.16170013
polysterene,2057.1,2.1209562
Pine Bark,2057.1,0.3294042
HDPE_film,2057.1,8.762664
PVC,2057.1,1.0576128
sycamore bark,2057.1,0.37596768
HDPE_bottle,2057.1,7.1996474
HetArb_spec,2057.1,0.1116953
Kaolinite,2057.8,0.5027915
Montmorillonite,2057.8,0.50555736
Saponite,2057.8,0.45288146
Hectorite,2057.8,0.41595945
Sepiolite,2057.8,0.44208896
Magnesite,2057.8,0.58750135
Vermiculite,2057.8,0.7715375
Bentonite,2057.8,0.20884094
Buddingtonite,2057.8,0.44795045
maple,2057.8,0.16137466
Fresh Pine Needles,2057.8,0.06888388
